,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
209,Plouzane,90,FR,1560443454,77,48.38,-4.62,62.6,14.99
210,Jorochito,75,BO,1560443455,69,-18.06,-63.43,82.4,23.04
211,Suez,29,EG,1560443457,47,29.97,32.54,80.72,16.78
212,Kununurra,12,AU,1560443458,83,-15.77,128.74,71.6,4.99
213,Katsuura,75,JP,1560443459,83,33.93,134.5,71.6,11.41
214,Agirish,71,RU,1560443460,64,61.92,63.02,40.04,10.76
215,Sinyavskoye,20,RU,1560443462,40,47.28,39.28,86.0,6.71
216,Kemi,0,FI,1560443463,42,65.74,24.56,62.6,5.82
217,Mugla,58,BG,1560443464,31,41.62,24.49,89.6,3.36
218,Rio Grande,20,BR,1560443465,73,-32.03,-52.1,77.0,5.1
219,Maumere,6,ID,1560443466,76,-8.63,122.22,80.18,7.23
220,Ongandjera,0,NA,1560443468,21,-17.88,15.07,64.16,8.23
221,Songkhla,20,TH,1560443469,88,7.2,100.6,80.6,4.9
222,Najran,40,SA,1560443470,15,17.54,44.22,96.8,9.17
223,Sur,100,OM,1560443471,37,22.57,59.53,92.6,7.63
224,Bethel,40,US,1560443473,63,60.79,-161.76,64.4,6.93
225,Mocuba,8,MZ,1560443474,95,-16.84,36.99,66.32,4.65
226,Nanortalik,1,GL,1560443475,76,60.14,-45.24,42.74,5.91
227,Mutoko,0,ZW,1560443477,44,-17.4,32.23,61.64,3.31
228,Neryungri,100,RU,1560443478,94,56.66,124.71,41.66,4.25
229,Bathsheba,75,BB,1560443479,83,13.22,-59.52,80.6,17.22
230,Ous,99,RU,1560443480,55,60.91,61.52,44.0,10.83
231,Qandala,100,SO,1560443481,53,11.47,49.87,92.96,11.41
232,Kokopo,100,PG,1560443483,96,-4.34,152.27,72.26,1.99
233,Richards Bay,74,ZA,1560443484,68,-28.77,32.06,66.5,17.58
234,Antonina,0,BR,1560443485,44,-25.43,-48.71,77.0,16.11
235,Cahuacan,75,MX,1560443486,59,19.64,-99.42,66.2,9.17
236,Anadyr,0,RU,1560443487,66,64.73,177.51,48.2,4.47
237,Kahului,20,US,1560443355,77,20.89,-156.47,73.4,3.36
238,Inongo,30,CD,1560443490,34,-1.93,18.29,82.34,1.9
239,Grand Gaube,40,MU,1560443491,73,-20.01,57.66,73.4,12.75
240,Praya,75,ID,1560443492,88,-8.71,116.27,77.0,5.82
241,Saint Anthony,40,US,1560443493,67,43.97,-111.68,64.99,4.81
242,Port Elizabeth,90,US,1560443494,68,39.31,-74.98,72.0,13.87
243,Camacha,20,PT,1560443496,49,33.08,-16.33,69.8,14.99
244,Tagusao,83,PH,1560443497,72,9.19,117.81,84.68,5.41
245,Shangzhi,100,CN,1560443498,98,45.21,127.96,56.06,5.88
246,Camopi,94,GF,1560443499,51,3.17,-52.33,90.62,2.62
247,Bilibino,0,RU,1560442941,43,68.06,166.44,52.62,7.29
248,Luderitz,0,NA,1560443289,36,-26.65,15.16,75.2,10.29
249,Necochea,95,AR,1560443503,97,-38.55,-58.74,55.99,1.99
250,Sabha,0,LY,1560443504,7,27.03,14.43,102.5,5.3
251,Swan Hill,94,AU,1560443505,87,-35.34,143.56,50.12,5.3
252,Nuevo Progreso,75,US,1560443506,55,26.05,-97.95,90.0,6.93
253,Uyuni,43,BO,1560443508,11,-20.46,-66.82,55.16,11.41
254,Walvis Bay,0,NA,1560443509,29,-22.95,14.51,89.6,9.17
255,Santa Rosalia,0,IT,1560443511,73,38.07,13.27,90.0,17.22
256,Skowhegan,1,US,1560443289,63,44.77,-69.72,62.01,4.7
257,Pevek,20,RU,1560443513,58,69.7,170.27,46.88,8.59
258,Salta,0,AR,1560443514,63,-24.79,-65.41,71.6,2.24
259,Tautira,75,PF,1560443515,78,-17.73,-149.15,75.2,3.36
260,Buluang,75,PH,1560443517,74,10.47,123.98,82.4,5.82
261,Mount Isa,4,AU,1560443518,60,-20.73,139.49,68.0,10.29
262,Ivanteyevka,0,RU,1560443519,34,55.97,37.92,68.0,6.71
263,Starokozache,0,UA,1560443520,42,46.34,29.99,80.6,11.18
264,Broken Hill,57,AU,1560443522,76,-31.97,141.45,48.2,4.7
265,Kieta,99,PG,1560443523,74,-6.22,155.63,82.88,7.7
266,Barreirinhas,34,BR,1560443524,84,-2.75,-42.83,82.52,3.67
267,Hovd,40,NO,1560443525,52,63.83,10.7,66.99,13.87
268,Ipixuna,75,BR,1560443526,66,-1.76,-48.8,87.8,9.17
269,Talnakh,75,RU,1560443527,93,69.49,88.39,39.2,11.18
270,Kuna,1,US,1560443529,50,43.49,-116.42,78.01,4.7
271,Faanui,37,PF,1560443530,75,-16.48,-151.75,81.62,22.59
272,Buraydah,20,SA,1560443531,19,26.33,43.97,105.8,8.05
273,Rehli,29,IN,1560443533,40,23.64,79.06,93.86,15.84
274,Meulaboh,71,ID,1560443534,70,4.14,96.13,82.88,5.86
275,San Buenaventura,0,MX,1560443535,36,27.06,-101.55,83.96,9.8
276,Hamilton,75,BM,1560443321,78,32.3,-64.78,82.4,11.41
277,Borgarnes,75,IS,1560443537,62,64.54,-21.92,64.0,16.11
278,Poum,20,MK,1560443538,54,41.28,20.71,82.4,3.36
279,Kirakira,66,SB,1560443540,81,-10.46,161.92,78.74,8.46
280,Ambilobe,100,MG,1560443541,62,-13.19,49.05,74.24,8.1
281,Moranbah,0,AU,1560443542,87,-22.0,148.04,61.28,6.4
282,Backa Topola,0,RS,1560443543,59,45.82,19.63,82.7,2.66
283,Francistown,0,BW,1560443544,20,-21.17,27.5,66.2,4.7
284,Puerto Rondon,99,CO,1560443546,89,6.28,-71.1,81.62,4.27
285,Sovetskiy,0,RU,1560443547,70,56.76,48.47,48.14,6.31
286,Ostrovnoy,1,RU,1560443548,67,68.05,39.51,42.74,9.8
287,Seoul,1,KR,1560443549,77,37.57,126.98,69.8,1.12
288,Cairns,90,AU,1560443550,83,-16.92,145.77,71.6,11.41
289,Sri Aman,100,MY,1560443552,94,1.24,111.46,75.2,2.24
290,Algiers,1,US,1560443553,51,29.94,-90.04,88.0,4.7
291,Klaksvik,99,FO,1560443554,75,62.23,-6.59,46.4,31.09
292,Peniche,20,PT,1560443555,59,39.36,-9.38,69.01,17.22
293,Eureka,90,US,1560443416,100,40.8,-124.16,62.01,5.82
294,Nicoya,40,CR,1560443558,74,10.15,-85.45,86.0,5.82
295,Taoudenni,100,ML,1560443559,8,22.68,-3.98,106.46,10.04
296,Toro,75,CO,1560443560,69,4.61,-76.08,78.8,6.93
297,Prokopyevsk,85,RU,1560443561,82,53.89,86.74,62.0,12.95
298,Acapulco,75,MX,1560443403,79,16.86,-99.88,84.2,3.36
299,Koumac,1,NC,1560443564,70,-20.56,164.28,71.36,6.93
300,Viedma,100,AR,1560443565,78,-40.81,-62.99,56.42,13.73
301,Inhambane,40,MZ,1560443566,78,-23.87,35.38,73.4,18.34
302,Ca Mau,91,VN,1560443567,79,9.18,105.15,82.52,3.87
303,Sobolevo,16,RU,1560443569,86,54.43,31.9,65.06,9.1
304,Vostok,100,RU,1560443570,95,46.45,135.83,54.26,6.76
305,San-Pedro,59,CI,1560443571,79,4.75,-6.64,77.84,4.43
306,Capinopolis,0,BR,1560443572,43,-18.68,-49.57,84.86,9.13
307,Petauke,54,ZM,1560443573,51,-14.25,31.33,69.02,6.17
308,Adrar,24,DZ,1560443575,8,27.87,-0.29,105.8,23.04
309,Zhaoyang,100,CN,1560443576,97,42.68,126.03,58.58,8.28
310,Port Lincoln,96,AU,1560443577,72,-34.72,135.86,61.82,20.22
311,Tura,53,IN,1560443578,66,25.52,90.21,85.4,3.49
312,Agadez,1,NE,1560443387,15,16.97,7.99,104.0,12.75
313,Salinopolis,21,BR,1560443580,71,-0.61,-47.36,83.6,11.21
314,Goderich,100,CA,1560443582,86,43.74,-81.71,63.0,15.88
315,Zhangye,100,CN,1560443583,47,38.94,100.46,63.98,18.14
316,Mendoza,20,AR,1560443353,44,-32.89,-68.84,57.2,64.42
317,Aklavik,75,CA,1560443585,65,68.22,-135.01,41.0,3.36
318,Alice Springs,2,AU,1560443376,58,-23.7,133.88,53.6,3.36
319,Mount Gambier,90,AU,1560443587,93,-37.83,140.78,48.2,10.29
320,Vila Franca do Campo,75,PT,1560443588,68,37.72,-25.43,68.0,11.41
321,Awbari,17,LY,1560443590,7,26.59,12.77,101.78,9.75
322,Ankara,40,TR,1560443305,64,39.92,32.85,75.2,5.82
323,Neftcala,0,AZ,1560443592,37,39.37,49.25,81.62,6.91
324,Ambanja,98,MG,1560443593,71,-13.68,48.45,80.0,4.52
325,Gravdal,75,NO,1560443594,63,59.79,5.78,62.01,19.46
326,Hay River,40,CA,1560443595,55,60.82,-115.79,64.4,10.29
327,Carndonagh,75,IE,1560443597,71,55.25,-7.27,51.8,13.87
328,Qasigiannguit,40,GL,1560443598,66,68.82,-51.19,48.2,9.17
329,Naron,20,ES,1560443599,59,43.52,-8.15,62.01,8.05
330,Sarasota,75,US,1560443364,66,27.34,-82.53,91.0,11.41
331,Moose Factory,1,CA,1560443601,66,51.26,-80.61,50.0,6.93
332,Ocampo,100,PH,1560443602,79,13.56,123.37,84.86,9.13
333,La Serena,20,CL,1560443406,59,-29.9,-71.25,60.8,5.82
334,Andradina,21,BR,1560443605,40,-20.89,-51.38,87.2,11.18
335,Palana,0,RU,1560443606,72,59.08,159.95,46.52,6.93
336,Dawei,100,MM,1560443607,81,14.07,98.19,81.98,7.65
337,Roald,75,NO,1560443608,72,62.58,6.12,69.8,6.93
338,Pinyug,42,RU,1560443609,68,60.25,47.79,49.4,6.13
339,Atar,19,MR,1560443611,13,20.52,-13.05,99.08,10.04
340,Baker City,1,US,1560443612,53,44.77,-117.83,79.0,3.36
341,Basco,1,US,1560443613,45,40.33,-91.2,66.0,12.75
